stmt_index,label,eps_star,scale,g_read
110,1,25.3893,25.38933840661576,59.9153
110,1,25.3893,-25.38933840661576,3.54314
110,1,25.3893,36.847301959990936,62.3881
110,1,25.3893,-36.847301959990936,-6.59341
298,1,20.2432,0.0,48.6521
298,1,20.2432,20.243160048705143,63.1225
298,1,20.2432,-20.243160048705143,18.868
298,1,20.2432,36.847301959990936,63.6919
298,1,20.2432,-36.847301959990936,17.2846
199,1,40.7415,0.0,42.1933
199,1,40.7415,36.847301959990936,66.2029
199,1,40.7415,-36.847301959990936,21.9283
60,1,28.2157,0.0,43.918
60,1,28.2157,28.21566613205297,65.9446
60,1,28.2157,-28.21566613205297,13.568
60,1,28.2157,36.847301959990936,68.0926
60,1,28.2157,-36.847301959990936,9.77763
540,1,15.8913,0.0,42.6156
540,1,15.8913,15.891334372385918,64.1835
540,1,15.8913,-15.891334372385918,14.4193
540,1,15.8913,31.782668744771836,66.3257
540,1,15.8913,-31.782668744771836,5.15866
683,1,29.8203,0.0,60.4401
683,1,29.8203,29.82029134558351,80.0201
683,1,29.8203,-29.82029134558351,16.5929
683,1,29.8203,36.847301959990936,80.3353
683,1,29.8203,-36.847301959990936,15.3931
470,1,19.0076,0.0,50.3875
470,1,19.0076,19.007574055855734,66.5974
470,1,19.0076,-19.007574055855734,0.550026
470,1,19.0076,36.847301959990936,69.1173
470,1,19.0076,-36.847301959990936,-4.71011
971,1,38.4263,0.0,54.0519
971,1,38.4263,36.847301959990936,74.6303
971,1,38.4263,-36.847301959990936,34.2268
396,1,30.1393,0.0,62.5272
396,1,30.1393,30.139291338886494,79.2238
396,1,30.1393,-30.139291338886494,36.3937
396,1,30.1393,36.847301959990936,78.9171
396,1,30.1393,-36.847301959990936,34.7511
378,1,24.0472,0.0,38.7428
378,1,24.0472,24.04719353439059,53.9784
378,1,24.0472,-24.04719353439059,16.8899
378,1,24.0472,36.847301959990936,55.6409
378,1,24.0472,-36.847301959990936,19.7634
583,1,33.0747,0.0,61.2149
583,1,33.0747,33.07465199005579,77.4252
