arm,direction,scale,n,frac_true,frac_false,frac_incoherent,hardened
stmt,jtw_stmt,-12.674556538199019,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.616791345090123,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-12.569198644064729,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.560985544599617,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-12.432661874687183,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-12.427402357093817,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.409006101347408,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.389071085869777,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.319574208157983,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-12.263975847638081,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.239429001317873,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.151823080961469,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.093585005555674,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-12.009348612729383,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.999061493612343,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.92172915073261,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.914383758167913,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.832067411919649,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.656489660912117,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.60477346035406,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.553472671848025,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.279726291925424,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.219819904156767,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.206080036541152,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.163339994435521,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-11.095921483758678,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-11.061826947671968,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.860476544897205,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.856398521551272,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.84339210726802,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-10.720445033002017,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.650342087115177,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.606746114483718,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.41659767094022,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.400209200139555,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.306392760958074,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-10.29638073883468,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.238781192978998,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-10.203396064846098,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-10.16465667381957,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.153040564013724,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.074508131182755,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.044590559542515,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-10.036716310042134,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-9.982341001129566,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-9.899722999905826,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-9.773708532498993,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-9.751593279604824,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-9.683526363879409,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-9.63908575051844,1,1.0000,0.0000,0.0000,0
