stmt_index,label,direction,eps,eps_frac,rel_err
324,1,dct_v_top,30.2847,0.3492,2.98472
324,1,dct_v_top,49.2313,0.5676,2.72737
324,1,dct_v_top,80.031,0.9227,1.85944
324,1,dct_v_top,130.099,1.5,1.50935
324,1,random,4.33665,0.05,0.0385866
324,1,random,7.04972,0.08128,0.0631588
324,1,random,11.4601,0.1321,0.103854
324,1,random,18.6297,0.2148,0.172026
324,1,random,30.2847,0.3492,0.287707
324,1,random,49.2313,0.5676,0.481514
324,1,random,80.031,0.9227,0.762511
324,1,random,130.099,1.5,1.03572
360,1,jtw_mean_diff_tgt,4.33665,0.05,0.172977
360,1,jtw_mean_diff_tgt,7.04972,0.08128,0.264746
360,1,jtw_mean_diff_tgt,11.4601,0.1321,0.381333
360,1,jtw_mean_diff_tgt,18.6297,0.2148,0.505894
360,1,jtw_mean_diff_tgt,30.2847,0.3492,0.624259
360,1,jtw_mean_diff_tgt,49.2313,0.5676,0.73
360,1,jtw_mean_diff_tgt,80.031,0.9227,0.814556
360,1,jtw_mean_diff_tgt,130.099,1.5,0.87989
360,1,mean_diff_src,4.33665,0.05,0.0682524
360,1,mean_diff_src,7.04972,0.08128,0.109497
360,1,mean_diff_src,11.4601,0.1321,0.173702
360,1,mean_diff_src,18.6297,0.2148,0.26972
360,1,mean_diff_src,30.2847,0.3492,0.403298
360,1,mean_diff_src,49.2313,0.5676,0.569634
360,1,mean_diff_src,80.031,0.9227,0.741602
360,1,mean_diff_src,130.099,1.5,0.852603
360,1,dct_v_top,4.33665,0.05,0.196269
360,1,dct_v_top,7.04972,0.08128,0.359153
360,1,dct_v_top,11.4601,0.1321,0.769491
360,1,dct_v_top,18.6297,0.2148,2.81677
360,1,dct_v_top,30.2847,0.3492,3.94694
360,1,dct_v_top,49.2313,0.5676,2.82182
360,1,dct_v_top,80.031,0.9227,1.84047
360,1,dct_v_top,130.099,1.5,1.58492
360,1,random,4.33665,0.05,0.0441259
360,1,random,7.04972,0.08128,0.0726139
360,1,random,11.4601,0.1321,0.120192
360,1,random,18.6297,0.2148,0.200115
360,1,random,30.2847,0.3492,0.332682
360,1,random,49.2313,0.5676,0.536782
360,1,random,80.031,0.9227,0.7967
360,1,random,130.099,1.5,1.04684
387,1,jtw_mean_diff_tgt,4.33665,0.05,0.158622
387,1,jtw_mean_diff_tgt,7.04972,0.08128,0.247996
387,1,jtw_mean_diff_tgt,11.4601,0.1321,0.370594
387,1,jtw_mean_diff_tgt,18.6297,0.2148,0.515692
387,1,jtw_mean_diff_tgt,30.2847,0.3492,0.661521
387,1,jtw_mean_diff_tgt,49.2313,0.5676,0.786581
387,1,jtw_mean_diff_tgt,80.031,0.9227,0.880457
387,1,jtw_mean_diff_tgt,130.099,1.5,0.93048
387,1,mean_diff_src,4.33665,0.05,0.0623775
387,1,mean_diff_src,7.04972,0.08128,0.0995543
387,1,mean_diff_src,11.4601,0.1321,0.15698
387,1,mean_diff_src,18.6297,0.2148,0.242638
387,1,mean_diff_src,30.2847,0.3492,0.363069
387,1,mean_diff_src,49.2313,0.5676,0.516012
387,1,mean_diff_src,80.031,0.9227,0.679101
387,1,mean_diff_src,130.099,1.5,0.821238
387,1,dct_v_top,4.33665,0.05,0.215403
387,1,dct_v_top,7.04972,0.08128,0.387598
387,1,dct_v_top,11.4601,0.1321,0.760367
387,1,dct_v_top,18.6297,0.2148,1.94321
387,1,dct_v_top,30.2847,0.3492,4.51282
387,1,dct_v_top,49.2313,0.5676,3.00663
387,1,dct_v_top,80.031,0.9227,1.94105
387,1,dct_v_top,130.099,1.5,1.6274
387,1,random,4.33665,0.05,0.0494093
387,1,random,7.04972,0.08128,0.080309
387,1,random,11.4601,0.1321,0.130467
387,1,random,18.6297,0.2148,0.211491
387,1,random,30.2847,0.3492,0.340707
387,1,random,49.2313,0.5676,0.538646
387,1,random,80.031,0.9227,0.804766
387,1,random,130.099,1.5,1.08854
398,1,jtw_mean_diff_tgt,4.33665,0.05,0.189596
398,1,jtw_mean_diff_tgt,7.04972,0.08128,0.285698
398,1,jtw_mean_diff_tgt,11.4601,0.1321,0.408212
398,1,jtw_mean_diff_tgt,18.6297,0.2148,0.544645
398,1,jtw_mean_diff_tgt,30.2847,0.3492,0.673422
398,1,jtw_mean_diff_tgt,49.2313,0.5676,0.778055
398,1,jtw_mean_diff_tgt,80.031,0.9227,0.856928
398,1,jtw_mean_diff_tgt,130.099,1.5,0.9041
398,1,mean_diff_src,4.33665,0.05,0.0532952
398,1,mean_diff_src,7.04972,0.08128,0.0859361
398,1,mean_diff_src,11.4601,0.1321,0.137691
398,1,mean_diff_src,18.6297,0.2148,0.218062
398,1,mean_diff_src,30.2847,0.3492,0.337867
398,1,mean_diff_src,49.2313,0.5676,0.501839
398,1,mean_diff_src,80.031,0.9227,0.688662
398,1,mean_diff_src,130.099,1.5,0.836863
398,1,dct_v_top,4.33665,0.05,0.206173
398,1,dct_v_top,7.04972,0.08128,0.367596
398,1,dct_v_top,11.4601,0.1321,0.721712
398,1,dct_v_top,18.6297,0.2148,1.85701
398,1,dct_v_top,30.2847,0.3492,3.56538
398,1,dct_v_top,49.2313,0.5676,2.88735
398,1,dct_v_top,80.031,0.9227,1.96601
398,1,dct_v_top,130.099,1.5,1.6272
398,1,random,4.33665,0.05,0.0503973
398,1,random,7.04972,0.08128,0.0822535
398,1,random,11.4601,0.1321,0.134496
398,1,random,18.6297,0.2148,0.21982
398,1,random,30.2847,0.3492,0.356388
398,1,random,49.2313,0.5676,0.5599
398,1,random,80.031,0.9227,0.817683
398,1,random,130.099,1.5,1.06531
431,1,jtw_mean_diff_tgt,4.33665,0.05,0.114254
431,1,jtw_mean_diff_tgt,7.04972,0.08128,0.180685
431,1,jtw_mean_diff_tgt,11.4601,0.1321,0.279282
431,1,jtw_mean_diff_tgt,18.6297,0.2148,0.40913
431,1,jtw_mean_diff_tgt,30.2847,0.3492,0.553505
431,1,jtw_mean_diff_tgt,49.2313,0.5676,0.690611
431,1,jtw_mean_diff_tgt,80.031,0.9227,0.803685
431,1,jtw_mean_diff_tgt,130.099,1.5,0.8892
431,1,mean_diff_src,4.33665,0.05,0.0684127
431,1,mean_diff_src,7.04972,0.08128,0.107653
431,1,mean_diff_src,11.4601,0.1321,0.166091
431,1,mean_diff_src,18.6297,0.2148,0.248497
431,1,mean_diff_src,30.2847,0.3492,0.355493
431,1,mean_diff_src,49.2313,0.5676,0.479395
431,1,mean_diff_src,80.031,0.9227,0.605686
431,1,mean_diff_src,130.099,1.5,0.720696
431,1,dct_v_top,4.33665,0.05,0.251173
431,1,dct_v_top,7.04972,0.08128,0.455939
431,1,dct_v_top,11.4601,0.1321,0.904986
431,1,dct_v_top,18.6297,0.2148,1.95135
431,1,dct_v_top,30.2847,0.3492,2.78985
431,1,dct_v_top,49.2313,0.5676,2.21527
431,1,dct_v_top,80.031,0.9227,1.77605
431,1,dct_v_top,130.099,1.5,1.49301
431,1,random,4.33665,0.05,0.0411111
431,1,random,7.04972,0.08128,0.0667856
431,1,random,11.4601,0.1321,0.108431
431,1,random,18.6297,0.2148,0.175565
431,1,random,30.2847,0.3492,0.282116
431,1,random,49.2313,0.5676,0.444876
431,1,random,80.031,0.9227,0.683464
431,1,random,130.099,1.5,1.01799
433,1,jtw_mean_diff_tgt,4.33665,0.05,0.25084
433,1,jtw_mean_diff_tgt,7.04972,0.08128,0.372017
433,1,jtw_mean_diff_tgt,11.4601,0.1321,0.515389
433,1,jtw_mean_diff_tgt,18.6297,0.2148,0.658196
433,1,jtw_mean_diff_tgt,30.2847,0.3492,0.779632
433,1,jtw_mean_diff_tgt,49.2313,0.5676,0.867317
433,1,jtw_mean_diff_tgt,80.031,0.9227,0.921856
433,1,jtw_mean_diff_tgt,130.099,1.5,0.955923
433,1,mean_diff_src,4.33665,0.05,0.0632262
433,1,mean_diff_src,7.04972,0.08128,0.102819
433,1,mean_diff_src,11.4601,0.1321,0.166364
433,1,mean_diff_src,18.6297,0.2148,0.265137
433,1,mean_diff_src,30.2847,0.3492,0.407846
433,1,mean_diff_src,49.2313,0.5676,0.587233
433,1,mean_diff_src,80.031,0.9227,0.764238
433,1,mean_diff_src,130.099,1.5,0.884147
433,1,dct_v_top,4.33665,0.05,0.16208
433,1,dct_v_top,7.04972,0.08128,0.269137
433,1,dct_v_top,11.4601,0.1321,0.442655
433,1,dct_v_top,18.6297,0.2148,0.691307
433,1,dct_v_top,30.2847,0.3492,1.02906
433,1,dct_v_top,49.2313,0.5676,1.36163
433,1,dct_v_top,80.031,0.9227,1.17279
433,1,dct_v_top,130.099,1.5,1.08794
433,1,random,4.33665,0.05,0.052311
433,1,random,7.04972,0.08128,0.0851011
433,1,random,11.4601,0.1321,0.138433
433,1,random,18.6297,0.2148,0.224896
433,1,random,30.2847,0.3492,0.363012
433,1,random,49.2313,0.5676,0.569958
433,1,random,80.031,0.9227,0.819309
433,1,random,130.099,1.5,0.998472
452,1,jtw_mean_diff_tgt,4.33665,0.05,0.191682
452,1,jtw_mean_diff_tgt,7.04972,0.08128,0.294691
452,1,jtw_mean_diff_tgt,11.4601,0.1321,0.427793
452,1,jtw_mean_diff_tgt,18.6297,0.2148,0.568305
452,1,jtw_mean_diff_tgt,30.2847,0.3492,0.689268
452,1,jtw_mean_diff_tgt,49.2313,0.5676,0.786996
452,1,jtw_mean_diff_tgt,80.031,0.9227,0.865243
452,1,jtw_mean_diff_tgt,130.099,1.5,0.921476
452,1,mean_diff_src,4.33665,0.05,0.0699739
452,1,mean_diff_src,7.04972,0.08128,0.113826
452,1,mean_diff_src,11.4601,0.1321,0.18385
452,1,mean_diff_src,18.6297,0.2148,0.289647
452,1,mean_diff_src,30.2847,0.3492,0.42533
452,1,mean_diff_src,49.2313,0.5676,0.551959
452,1,mean_diff_src,80.031,0.9227,0.676656
452,1,mean_diff_src,130.099,1.5,0.831298
452,1,dct_v_top,4.33665,0.05,0.216343
452,1,dct_v_top,7.04972,0.08128,0.376126
452,1,dct_v_top,11.4601,0.1321,0.661826
452,1,dct_v_top,18.6297,0.2148,1.14436
452,1,dct_v_top,30.2847,0.3492,2.28438
452,1,dct_v_top,49.2313,0.5676,1.98385
452,1,dct_v_top,80.031,0.9227,1.34332
452,1,dct_v_top,130.099,1.5,1.23128
452,1,random,4.33665,0.05,0.0485995
452,1,random,7.04972,0.08128,0.0790839
452,1,random,11.4601,0.1321,0.128621
452,1,random,18.6297,0.2148,0.208706
452,1,random,30.2847,0.3492,0.335717
452,1,random,49.2313,0.5676,0.523759
452,1,random,80.031,0.9227,0.750471
452,1,random,130.099,1.5,0.968697
457,1,jtw_mean_diff_tgt,4.33665,0.05,0.488796
457,1,jtw_mean_diff_tgt,7.04972,0.08128,0.862772
457,1,jtw_mean_diff_tgt,11.4601,0.1321,1.07077
457,1,jtw_mean_diff_tgt,18.6297,0.2148,0.924749
457,1,jtw_mean_diff_tgt,30.2847,0.3492,0.823271
457,1,jtw_mean_diff_tgt,49.2313,0.5676,0.834911
457,1,jtw_mean_diff_tgt,80.031,0.9227,0.877794
457,1,jtw_mean_diff_tgt,130.099,1.5,0.916239
457,1,mean_diff_src,4.33665,0.05,0.0899682
457,1,mean_diff_src,7.04972,0.08128,0.14819
457,1,mean_diff_src,11.4601,0.1321,0.246742
457,1,mean_diff_src,18.6297,0.2148,0.419277
457,1,mean_diff_src,30.2847,0.3492,0.715111
