stmt_index,label,direction,eps,eps_frac,rel_err
274,1,dct_v_top,16.6611,0.3492,0.538715
274,1,dct_v_top,27.0845,0.5676,0.885036
274,1,dct_v_top,44.0289,0.9227,0.930817
274,1,dct_v_top,71.574,1.5,0.910048
274,1,random,2.3858,0.05,0.0314105
274,1,random,3.87839,0.08128,0.0515581
274,1,random,6.30477,0.1321,0.0850956
274,1,random,10.2491,0.2148,0.141497
274,1,random,16.6611,0.3492,0.237136
274,1,random,27.0845,0.5676,0.39677
274,1,random,44.0289,0.9227,0.636122
274,1,random,71.574,1.5,0.90076
293,0,jtw_mean_diff_tgt,2.3858,0.05,0.308772
293,0,jtw_mean_diff_tgt,3.87839,0.08128,0.438499
293,0,jtw_mean_diff_tgt,6.30477,0.1321,0.578579
293,0,jtw_mean_diff_tgt,10.2491,0.2148,0.705966
293,0,jtw_mean_diff_tgt,16.6611,0.3492,0.806555
293,0,jtw_mean_diff_tgt,27.0845,0.5676,0.878968
293,0,jtw_mean_diff_tgt,44.0289,0.9227,0.927437
293,0,jtw_mean_diff_tgt,71.574,1.5,0.956756
293,0,mean_diff_src,2.3858,0.05,0.0808071
293,0,mean_diff_src,3.87839,0.08128,0.131796
293,0,mean_diff_src,6.30477,0.1321,0.214172
293,0,mean_diff_src,10.2491,0.2148,0.342635
293,0,mean_diff_src,16.6611,0.3492,0.523124
293,0,mean_diff_src,27.0845,0.5676,0.718369
293,0,mean_diff_src,44.0289,0.9227,0.836521
293,0,mean_diff_src,71.574,1.5,0.884465
293,0,dct_v_top,2.3858,0.05,0.0961515
293,0,dct_v_top,3.87839,0.08128,0.152615
293,0,dct_v_top,6.30477,0.1321,0.236473
293,0,dct_v_top,10.2491,0.2148,0.35558
293,0,dct_v_top,16.6611,0.3492,0.523699
293,0,dct_v_top,27.0845,0.5676,0.764174
293,0,dct_v_top,44.0289,0.9227,0.918263
293,0,dct_v_top,71.574,1.5,0.952861
293,0,random,2.3858,0.05,0.0324929
293,0,random,3.87839,0.08128,0.052849
293,0,random,6.30477,0.1321,0.0859127
293,0,random,10.2491,0.2148,0.13954
293,0,random,16.6611,0.3492,0.225633
293,0,random,27.0845,0.5676,0.358077
293,0,random,44.0289,0.9227,0.535736
293,0,random,71.574,1.5,0.748823
330,1,jtw_mean_diff_tgt,2.3858,0.05,0.0757192
330,1,jtw_mean_diff_tgt,3.87839,0.08128,0.119619
330,1,jtw_mean_diff_tgt,6.30477,0.1321,0.184828
330,1,jtw_mean_diff_tgt,10.2491,0.2148,0.275415
330,1,jtw_mean_diff_tgt,16.6611,0.3492,0.389944
330,1,jtw_mean_diff_tgt,27.0845,0.5676,0.518208
330,1,jtw_mean_diff_tgt,44.0289,0.9227,0.640728
330,1,jtw_mean_diff_tgt,71.574,1.5,0.7449
330,1,mean_diff_src,2.3858,0.05,0.0308631
330,1,mean_diff_src,3.87839,0.08128,0.0499468
330,1,mean_diff_src,6.30477,0.1321,0.0807504
330,1,mean_diff_src,10.2491,0.2148,0.130519
330,1,mean_diff_src,16.6611,0.3492,0.21147
330,1,mean_diff_src,27.0845,0.5676,0.344246
330,1,mean_diff_src,44.0289,0.9227,0.553969
330,1,mean_diff_src,71.574,1.5,0.80266
330,1,dct_v_top,2.3858,0.05,0.0632465
330,1,dct_v_top,3.87839,0.08128,0.103279
330,1,dct_v_top,6.30477,0.1321,0.170087
330,1,dct_v_top,10.2491,0.2148,0.287858
330,1,dct_v_top,16.6611,0.3492,0.498339
330,1,dct_v_top,27.0845,0.5676,0.794014
330,1,dct_v_top,44.0289,0.9227,1.02874
330,1,dct_v_top,71.574,1.5,0.956841
330,1,random,2.3858,0.05,0.0267376
330,1,random,3.87839,0.08128,0.0435407
330,1,random,6.30477,0.1321,0.0709573
330,1,random,10.2491,0.2148,0.115769
330,1,random,16.6611,0.3492,0.189125
330,1,random,27.0845,0.5676,0.30889
330,1,random,44.0289,0.9227,0.500847
330,1,random,71.574,1.5,0.788332
339,0,jtw_mean_diff_tgt,2.3858,0.05,0.284444
